Q9FIF3	Q94AH9	1
F4IUU1	Q9LVW3	0
O22792	O64806	0
Q9SID0	Q9FJ95	1
Q9CAR7	Q9FQ24	0
O23659	Q9SRS6	0
Q9FJP3	Q9CAT7	1
Q9FLF3	Q9C4Z6	1
Q9SYL9	P49209	1
Q0WQJ7	Q8GS71	1
Q9SI61	Q8H0V1	1
Q9FE46	Q1H5B1	1
F4IKX0	F4JMJ1	1
Q8S403	Q9MAQ0	1
Q2EF88	Q9SX48	0
Q52T38	Q8W4Q4	0
Q8W463	Q9C6C2	1
Q9C942	Q9SK66	1
Q39070	Q8L726	1
P50546	P56795	1
F4JS27	O64731	0
O81775	Q67YL8	0
O82597	P20649	1
O48850	Q9LRP3	0
Q9SCX3	Q9C514	1
Q680B9	Q9SF55	0
P57691	Q9FFH8	0
O80800	Q7XA68	1
Q42044	Q9LH52	0
Q9S826	Q9S9P1	1
O48832	Q38860	0
Q9LZ36	Q9SJW1	0
Q8L403	Q93VG5	1
F4K1D3	P59224	1
F4IDC0	F4JPA3	0
Q5XEY4	Q9M236	0
Q8S307	P14713	1
Q9FFJ4	Q9LNC5	0
Q94C55	F4K790	1
Q8LC83	Q9ZPX2	1
Q93W37	Q9FVU7	0
Q0WV47	Q9FFV8	0
Q8L8V4	Q9M0F9	0
Q6DBQ1	Q94LW7	0
P59232	Q93Z72	0
Q9LJI5	Q9C9Z8	1
Q9ZPV5	A0A1P8BH59	1
Q1H5E9	Q9T0P4	0
O23344	P56799	0
Q9M8M9	P36211	1
Q9CAR0	Q9M2E0	0
Q9M7T1	P25864	1
F4JA80	P48523	0
F4J469	Q9FKX3	0
Q9FLF0	Q9FJY5	1
Q9LUJ5	A0A1P8BH59	1
Q9LRN8	P46286	1
F4IV18	Q1H5E9	0
O22178	Q9LK90	0
Q39161	Q9SI75	0
Q9ZWC4	Q9C9C6	1
F4KAG0	Q94AH9	0
Q9FEA2	Q9SKZ3	1
Q9LUQ6	P49205	1
F4JA80	Q9LZ06	0
Q52K83	Q9FL54	0
Q84MA5	Q9SD64	0
Q8L4A7	Q9SHH7	0
Q8RX66	Q9C9D0	0
Q8VZW1	Q9ZUU9	0
Q9FLF3	P56792	1
Q943Z6	Q4PSL7	1
Q9SCY0	P46283	1
Q9SRS2	Q9FF52	1
Q9LFB5	Q9LV28	0
F4IUX6	F4JC97	0
Q9SR73	Q8VYB5	1
Q93VK7	Q9C524	0
Q9C4Z6	Q39023	1
P38389	Q9SMP2	1
Q9FFV8	Q9M0M7	0
Q38833	Q9FYC2	1
P42036	P25864	1
Q9LK10	Q9LUG5	0
Q945K7	P0DKI1	1
Q9SD85	Q9SP02	0
Q8LEQ0	Q4PSL7	1
C0SUU5	Q9C835	0
Q8W4F0	Q93Z00	1
Q9SCX3	Q9SQZ1	1
Q6NMM8	Q9LKA9	1
Q0WVJ5	Q93XW5	1
Q8LFH7	Q9M0E2	1
Q8LFH7	Q8VZ55	1
Q9S714	Q07473	1
Q4PSZ1	Q680A5	0
Q0WNC2	Q6NMD5	0
Q9M0V5	F4HPB7	1
F4K2L8	Q94A94	0
F4KFS5	Q9LUK6	0
P50546	Q84JG5	1
Q8L7F7	Q9C9F0	0
Q8VZB1	Q9FMH9	0
Q9SMT4	Q9FIJ5	1
Q9LH39	Q9SN97	0
Q9LV28	Q9SR73	1
Q9LYK9	O23095	1
Q9ZVL6	Q9SUI5	1
Q9SRS2	Q56W16	1
Q9LPS7	Q9SA55	0
Q93ZB9	Q9LPE9	0
Q9ZUS6	Q9SKX8	1
O82782	Q9SHS2	0
Q8GZ17	Q9SFG3	0
Q8L960	Q9XJ35	1
O22152	Q5Q0F0	0
Q9M1K0	Q9SF47	0
Q94BY4	Q9LUB9	0
Q9MAB2	Q9FNF8	1
Q39244	Q84LG2	0
Q9FJW5	Q9SKZ7	0
P0DI19	Q6K1M3	0
Q9C8J2	Q9FI87	0
O22190	Q9FJB9	0
Q8L8Y0	Q42202	1
Q9FMV5	Q9M0N8	0
F4JRR2	O82491	0
Q0WUY5	Q84RR0	0
Q9SCN0	Q9SIB9	1
O81014	Q9FFC7	0
Q29Q34	P16181	1
O48917	P56792	0
Q38953	Q9LPP3	1
Q8GRX2	Q93VB8	1
Q4V3C1	Q9LRW3	0
O23035	Q9FIP7	0
Q84LG2	Q8GZ96	0
Q84TI2	Q9FKX3	0
Q1PDM1	Q9CA51	0
Q9FKC0	Q9SH88	1
Q9FWX6	Q9SGJ0	0
Q9LXJ2	Q93VH5	1
O80477	Q9FK68	0
P49200	Q94A56	1
Q9SIQ8	Q84W12	1
P56758	P0DH92	1
Q9SMV7	Q9SL02	1
F4K5Q9	Q94A73	0
Q9LU41	Q58P71	1
Q683G3	Q9C641	1
P42036	Q9LYK9	1
O81740	Q9S7D9	0
O22951	Q9ZW05	0
O80662	Q9ZRT5	1
Q8L9X5	Q9FLH2	0
Q9M8M9	Q9ZUS6	1
Q9SYH2	Q93ZN5	1
P55230	Q8GWP5	0
O64973	Q9SS98	0
F4I5S1	Q9LQ04	0
Q8L710	Q9LVW3	0
Q9FN92	Q9LI83	0
Q9FMR9	P53492	1
Q9FVP6	P49077	1
Q9FEA2	Q9SK22	1
Q8GRN0	Q9SSP7	0
Q9LQ04	Q9SGA8	0
Q9SAI5	Q8LPJ7	1
Q9LTU6	P42036	1
P56795	Q6NM52	1
Q9FKC0	Q9ZVW2	1
O22165	P59233	1
P59233	Q9FJ98	1
P25851	P46283	1
Q9LU64	Q9M385	1
O80963	Q9SKB2	0
O22152	Q6DBQ1	0
P0DKB7	Q8LG60	0
Q9FLF3	Q9SAI5	1
F4JYU0	Q9SK84	0
Q9SIB9	O65686	1
Q39239	Q9M0F9	0
Q500V9	Q9FJG2	0
O49255	Q9FL62	0
O23413	Q9LK50	0
Q9LX88	Q8LCN1	1
Q9SF55	Q9SMQ3	1
Q9FKC0	Q9CAF9	1
Q9LDL7	Q9LUG5	0
Q9SA55	Q9LNC5	1
Q9LTU6	Q9LZ65	1
Q6NLR2	Q8GUI9	0
P48529	Q9ZVJ4	0
